id_student,code_module,code_presentation,previous_attempts,assessments_due,assessments_submitted,completion_rate,mean_score,on_time_rate,mean_submission_delay,target
172797,AAA,2013J,0,2,2,1.0,57.0,1.0,-1.0,successful
174782,AAA,2013J,0,2,2,1.0,81.0,1.0,-2.0,successful
175392,AAA,2013J,0,2,2,1.0,79.5,1.0,-2.0,successful
175932,AAA,2013J,0,2,2,1.0,74.5,0.5,1.0,successful
175991,AAA,2013J,0,2,1,0.5,51.0,1.0,-4.0,at_risk
180753,AAA,2013J,0,2,2,1.0,60.0,1.0,-1.0,successful
181316,AAA,2013J,0,2,1,0.5,76.0,0.0,1.0,at_risk
183096,AAA,2013J,0,2,2,1.0,55.0,0.5,1.5,successful
183947,AAA,2013J,0,2,2,1.0,50.0,1.0,0.0,successful
184271,AAA,2013J,0,2,2,1.0,63.5,1.0,-1.0,successful
185439,AAA,2013J,0,2,1,0.5,74.0,0.0,5.0,at_risk
186149,AAA,2013J,0,2,1,0.5,85.0,0.0,14.0,successful
187100,AAA,2013J,0,2,2,1.0,89.0,1.0,-2.0,successful
188278,AAA,2013J,0,2,1,0.5,76.0,1.0,0.0,at_risk
189879,AAA,2013J,0,2,2,1.0,80.5,0.5,3.0,successful
192183,AAA,2013J,0,2,2,1.0,70.5,0.5,2.0,successful
195262,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
200860,AAA,2013J,0,2,2,1.0,63.5,1.0,-1.0,successful
202635,AAA,2013J,0,2,1,0.5,68.0,0.0,8.0,at_risk
205350,AAA,2013J,0,2,2,1.0,67.0,1.0,0.0,successful
205719,AAA,2013J,0,2,2,1.0,65.0,0.5,2.0,at_risk
227499,AAA,2013J,0,2,2,1.0,83.5,1.0,-0.5,successful
227517,AAA,2013J,0,2,2,1.0,65.0,1.0,-0.5,at_risk
228082,AAA,2013J,0,2,2,1.0,63.0,1.0,0.0,successful
228222,AAA,2013J,0,2,1,0.5,71.0,1.0,0.0,successful
229179,AAA,2013J,0,2,2,1.0,66.0,1.0,0.0,successful
229361,AAA,2013J,0,2,2,1.0,78.5,1.0,-1.0,successful
231554,AAA,2013J,0,2,2,1.0,71.0,1.0,0.0,successful
235507,AAA,2013J,0,2,1,0.5,65.0,1.0,-1.0,at_risk
236284,AAA,2013J,0,2,2,1.0,84.5,0.5,2.0,successful
238007,AAA,2013J,0,2,2,1.0,78.0,1.0,0.0,successful
240712,AAA,2013J,0,2,2,1.0,81.5,1.0,0.0,successful
240884,AAA,2013J,0,2,2,1.0,64.0,1.0,-1.0,successful
241649,AAA,2013J,0,2,2,1.0,75.5,1.0,-7.5,successful
241729,AAA,2013J,0,2,1,0.5,51.0,1.0,0.0,at_risk
242793,AAA,2013J,0,2,2,1.0,70.5,1.0,-1.0,successful
246834,AAA,2013J,0,2,2,1.0,58.0,1.0,-0.5,successful
248270,AAA,2013J,0,2,1,0.5,77.0,1.0,0.0,successful
255548,AAA,2013J,0,2,1,0.5,84.0,1.0,0.0,successful
256815,AAA,2013J,0,2,2,1.0,73.0,0.5,9.0,successful
258392,AAA,2013J,0,2,2,1.0,57.5,0.5,2.5,successful
258894,AAA,2013J,0,2,1,0.5,58.0,1.0,0.0,successful
260355,AAA,2013J,0,2,2,1.0,57.5,0.0,3.5,at_risk
262011,AAA,2013J,0,2,2,1.0,69.5,1.0,-0.5,successful
262934,AAA,2013J,0,2,2,1.0,80.5,1.0,-1.0,successful
268073,AAA,2013J,0,2,2,1.0,71.0,1.0,-2.5,at_risk
268733,AAA,2013J,0,2,1,0.5,51.0,0.0,10.0,at_risk
271251,AAA,2013J,0,2,2,1.0,71.0,1.0,0.0,successful
277880,AAA,2013J,0,2,1,0.5,70.0,0.0,1.0,at_risk
279572,AAA,2013J,0,2,2,1.0,80.5,1.0,-0.5,successful
281022,AAA,2013J,0,2,2,1.0,71.0,0.5,1.5,successful
281250,AAA,2013J,0,2,2,1.0,60.0,1.0,-1.5,at_risk
281589,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
282821,AAA,2013J,0,2,1,0.5,61.0,1.0,0.0,successful
286488,AAA,2013J,0,2,2,1.0,64.0,1.0,-0.5,successful
287548,AAA,2013J,0,2,2,1.0,69.5,0.5,0.5,successful
290201,AAA,2013J,0,2,1,0.5,78.0,1.0,-1.0,successful
290757,AAA,2013J,0,2,2,1.0,74.5,1.0,-1.0,successful
291334,AAA,2013J,0,2,2,1.0,84.5,0.5,2.5,successful
292923,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
293699,AAA,2013J,0,2,1,0.5,55.0,1.0,0.0,successful
294570,AAA,2013J,0,2,2,1.0,77.0,1.0,-3.5,successful
294594,AAA,2013J,0,2,2,1.0,57.0,1.0,-1.0,successful
295741,AAA,2013J,0,2,2,1.0,45.0,1.0,-1.0,at_risk
296332,AAA,2013J,0,2,2,1.0,93.0,1.0,-1.5,successful
298696,AAA,2013J,0,2,1,0.5,77.0,1.0,0.0,successful
300398,AAA,2013J,0,2,2,1.0,81.0,0.5,-2.5,successful
302302,AAA,2013J,0,2,2,1.0,58.5,0.5,2.0,at_risk
305152,AAA,2013J,0,2,1,0.5,64.0,1.0,0.0,at_risk
305386,AAA,2013J,0,2,2,1.0,75.5,1.0,0.0,successful
305539,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
306107,AAA,2013J,0,2,2,1.0,59.5,1.0,-0.5,successful
306466,AAA,2013J,0,2,2,1.0,79.5,1.0,-6.5,successful
306897,AAA,2013J,0,2,2,1.0,72.5,1.0,-3.5,successful
307061,AAA,2013J,0,2,2,1.0,79.0,1.0,0.0,successful
307866,AAA,2013J,0,2,2,1.0,49.5,1.0,0.0,successful
311917,AAA,2013J,0,2,2,1.0,50.5,1.0,-2.0,successful
312537,AAA,2013J,0,2,2,1.0,89.0,1.0,0.0,successful
312782,AAA,2013J,0,2,2,1.0,71.5,1.0,-1.0,successful
318933,AAA,2013J,0,2,2,1.0,66.5,1.0,-2.0,successful
319047,AAA,2013J,0,2,2,1.0,76.0,0.5,3.5,successful
321942,AAA,2013J,0,2,2,1.0,81.0,1.0,-1.5,successful
324002,AAA,2013J,0,2,2,1.0,77.0,1.0,-0.5,successful
324084,AAA,2013J,0,2,2,1.0,46.5,0.5,1.0,successful
324282,AAA,2013J,0,2,2,1.0,48.0,1.0,-1.0,successful
331358,AAA,2013J,0,2,1,0.5,84.0,1.0,-1.0,at_risk
332789,AAA,2013J,0,2,2,1.0,73.0,1.0,-0.5,successful
333059,AAA,2013J,0,2,2,1.0,71.0,1.0,0.0,successful
333323,AAA,2013J,0,2,2,1.0,77.5,1.0,0.0,successful
334259,AAA,2013J,0,2,1,0.5,57.0,1.0,0.0,at_risk
334333,AAA,2013J,0,2,1,0.5,36.0,1.0,-1.0,at_risk
335764,AAA,2013J,0,2,2,1.0,86.5,0.5,2.5,at_risk
336207,AAA,2013J,0,2,2,1.0,69.0,1.0,-2.5,successful
339972,AAA,2013J,0,2,2,1.0,56.0,1.0,-2.5,successful
341872,AAA,2013J,0,2,1,0.5,64.0,0.0,39.0,at_risk
342007,AAA,2013J,0,2,1,0.5,75.0,0.0,1.0,at_risk
342514,AAA,2013J,0,2,2,1.0,71.0,1.0,-5.0,successful
342972,AAA,2013J,0,2,2,1.0,59.5,0.5,-0.5,successful
343446,AAA,2013J,0,2,2,1.0,75.5,0.5,2.5,successful
344282,AAA,2013J,0,2,2,1.0,57.0,1.0,-1.0,at_risk
345068,AAA,2013J,0,2,1,0.5,70.0,1.0,0.0,successful
345357,AAA,2013J,0,2,2,1.0,72.5,1.0,-2.0,successful
346025,AAA,2013J,0,2,2,1.0,80.0,1.0,-1.0,successful
346843,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
350188,AAA,2013J,0,2,2,1.0,75.0,1.0,0.0,successful
354858,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
357668,AAA,2013J,0,2,2,1.0,56.0,1.0,0.0,at_risk
364177,AAA,2013J,0,2,2,1.0,64.5,1.0,-2.5,at_risk
365244,AAA,2013J,0,2,2,1.0,58.5,1.0,0.0,successful
365642,AAA,2013J,0,2,2,1.0,65.5,1.0,-2.5,successful
366483,AAA,2013J,0,2,2,1.0,79.0,1.0,-1.5,successful
368194,AAA,2013J,0,2,1,0.5,54.0,1.0,0.0,successful
368824,AAA,2013J,0,2,2,1.0,64.5,1.0,-1.0,at_risk
368963,AAA,2013J,0,2,2,1.0,58.5,0.5,0.0,successful
376439,AAA,2013J,0,2,2,1.0,81.5,1.0,0.0,successful
376581,AAA,2013J,0,2,1,0.5,86.0,1.0,-1.0,successful
380953,AAA,2013J,0,2,2,1.0,65.5,1.0,-1.5,successful
383254,AAA,2013J,0,2,2,1.0,71.5,1.0,-2.0,successful
386924,AAA,2013J,0,2,2,1.0,62.0,0.5,3.0,successful
386952,AAA,2013J,0,2,2,1.0,65.0,0.5,1.5,successful
388722,AAA,2013J,0,2,2,1.0,59.5,0.5,0.5,successful
388885,AAA,2013J,0,2,2,1.0,63.0,1.0,0.0,successful
390890,AAA,2013J,0,2,2,1.0,77.5,0.5,1.5,at_risk
392756,AAA,2013J,0,2,2,1.0,39.0,1.0,0.0,at_risk
392931,AAA,2013J,0,2,2,1.0,64.0,0.5,5.0,successful
393207,AAA,2013J,0,2,2,1.0,71.0,1.0,-1.0,successful
396872,AAA,2013J,0,2,2,1.0,62.5,1.0,0.0,successful
398552,AAA,2013J,0,2,2,1.0,51.5,1.0,-1.0,at_risk
401869,AAA,2013J,0,2,2,1.0,58.5,1.0,0.0,successful
402470,AAA,2013J,0,2,2,1.0,77.0,1.0,-2.0,successful
404804,AAA,2013J,0,2,2,1.0,48.5,1.0,-2.5,successful
405088,AAA,2013J,0,2,2,1.0,78.5,1.0,0.0,successful
405961,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
414117,AAA,2013J,0,2,2,1.0,76.5,1.0,-0.5,successful
415969,AAA,2013J,0,2,2,1.0,59.5,0.0,3.5,at_risk
420087,AAA,2013J,0,2,2,1.0,78.0,0.0,1.0,at_risk
429958,AAA,2013J,0,2,2,1.0,57.5,1.0,0.0,successful
441018,AAA,2013J,0,2,2,1.0,57.0,1.0,-1.0,successful
441888,AAA,2013J,0,2,2,1.0,69.0,0.5,0.0,successful
442442,AAA,2013J,0,2,2,1.0,40.5,1.0,0.0,at_risk
444677,AAA,2013J,0,2,2,1.0,90.0,1.0,0.0,successful
470588,AAA,2013J,0,2,1,0.5,86.0,1.0,0.0,at_risk
489455,AAA,2013J,0,2,2,1.0,71.0,1.0,-3.5,successful
494424,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
495284,AAA,2013J,0,2,2,1.0,66.0,1.0,-1.0,successful
498857,AAA,2013J,0,2,2,1.0,72.5,1.0,0.0,successful
508818,AAA,2013J,0,2,2,1.0,75.5,1.0,0.0,successful
512460,AAA,2013J,0,2,2,1.0,68.5,1.0,-1.5,successful
544103,AAA,2013J,0,2,2,1.0,81.0,1.0,-1.0,successful
550383,AAA,2013J,0,2,2,1.0,59.0,1.0,0.0,successful
564450,AAA,2013J,0,2,2,1.0,58.5,1.0,-1.0,at_risk
568601,AAA,2013J,0,2,2,1.0,81.5,0.5,3.0,at_risk
572652,AAA,2013J,0,2,2,1.0,72.0,1.0,0.0,successful
580389,AAA,2013J,0,2,2,1.0,75.0,1.0,0.0,successful
581129,AAA,2013J,0,2,1,0.5,15.0,1.0,0.0,at_risk
588775,AAA,2013J,0,2,2,1.0,83.0,1.0,-1.5,successful
591774,AAA,2013J,0,2,2,1.0,81.5,1.0,0.0,successful
603861,AAA,2013J,0,2,2,1.0,58.5,0.5,2.5,at_risk
606143,AAA,2013J,0,2,2,1.0,66.0,1.0,0.0,at_risk
704156,AAA,2013J,0,2,2,1.0,67.5,0.5,0.5,successful
705379,AAA,2013J,0,2,2,1.0,82.0,1.0,-0.5,successful
721259,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
749412,AAA,2013J,0,2,2,1.0,72.0,1.0,-3.0,successful
760729,AAA,2013J,0,2,2,1.0,80.0,1.0,-1.5,successful
905042,AAA,2013J,0,2,2,1.0,68.5,1.0,-1.5,successful
949618,AAA,2013J,0,2,2,1.0,63.0,1.0,-1.0,successful
958987,AAA,2013J,0,2,2,1.0,78.0,1.0,-0.5,successful
968578,AAA,2013J,0,2,2,1.0,69.5,0.5,4.0,successful
969076,AAA,2013J,0,2,2,1.0,72.0,1.0,-1.0,at_risk
971027,AAA,2013J,0,2,2,1.0,72.0,1.0,-0.5,successful
978739,AAA,2013J,0,2,2,1.0,58.5,1.0,-0.5,successful
1035023,AAA,2013J,0,2,2,1.0,69.0,1.0,0.0,successful
1105478,AAA,2013J,0,2,2,1.0,87.5,1.0,0.0,successful
1352868,AAA,2013J,0,2,1,0.5,66.0,1.0,0.0,at_risk
1401935,AAA,2013J,0,2,1,0.5,45.0,0.0,7.0,at_risk
1402638,AAA,2013J,0,2,1,0.5,77.0,0.0,2.0,successful
1414443,AAA,2013J,0,2,1,0.5,58.0,0.0,31.0,at_risk
1456619,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
1465690,AAA,2013J,0,2,2,1.0,80.5,1.0,0.0,successful
1472925,AAA,2013J,0,2,2,1.0,57.5,0.5,5.0,at_risk
1488959,AAA,2013J,0,2,2,1.0,65.5,0.0,2.0,successful
1518989,AAA,2013J,0,2,2,1.0,77.5,1.0,0.0,successful
1618738,AAA,2013J,0,2,2,1.0,83.5,1.0,0.0,successful
1620151,AAA,2013J,0,2,1,0.5,85.0,1.0,0.0,at_risk
1626710,AAA,2013J,0,2,2,1.0,83.5,1.0,-1.5,successful
1640609,AAA,2013J,0,2,2,1.0,84.5,1.0,-2.0,successful
1686521,AAA,2013J,0,2,1,0.5,68.0,1.0,-2.0,at_risk
1729319,AAA,2013J,0,2,2,1.0,79.0,1.0,0.0,successful
1746134,AAA,2013J,0,2,2,1.0,85.0,1.0,-1.0,successful
1758449,AAA,2013J,0,2,2,1.0,61.0,1.0,-0.5,at_risk
1763015,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
1765788,AAA,2013J,0,2,2,1.0,60.0,0.5,2.5,successful
1801229,AAA,2013J,0,2,1,0.5,79.0,1.0,0.0,successful
1801641,AAA,2013J,0,2,2,1.0,73.0,1.0,-1.0,successful
1847830,AAA,2013J,0,2,2,1.0,71.5,1.0,-1.0,successful
1860318,AAA,2013J,0,2,2,1.0,64.5,1.0,0.0,successful
1889511,AAA,2013J,0,2,2,1.0,70.5,0.5,1.5,successful
1889577,AAA,2013J,0,2,2,1.0,70.5,0.5,2.0,successful
1894188,AAA,2013J,0,2,2,1.0,71.5,1.0,-4.0,successful
1938355,AAA,2013J,0,2,2,1.0,66.0,1.0,-7.5,successful
1942396,AAA,2013J,0,2,1,0.5,50.0,1.0,0.0,successful
1970390,AAA,2013J,0,2,1,0.5,78.0,0.0,2.0,at_risk
1976139,AAA,2013J,0,2,2,1.0,75.5,1.0,-1.5,successful
2011876,AAA,2013J,0,2,2,1.0,75.0,1.0,0.0,successful
2012966,AAA,2013J,0,2,2,1.0,75.5,1.0,-0.5,successful
2051699,AAA,2013J,0,2,2,1.0,66.5,0.5,0.5,successful
2062879,AAA,2013J,0,2,2,1.0,55.5,1.0,-0.5,at_risk
2065691,AAA,2013J,0,2,2,1.0,35.0,0.5,5.5,at_risk
2073016,AAA,2013J,0,2,2,1.0,56.5,0.5,2.0,at_risk
2080474,AAA,2013J,0,2,2,1.0,76.0,1.0,0.0,successful
2083877,AAA,2013J,0,2,1,0.5,72.0,1.0,0.0,successful
2084066,AAA,2013J,0,2,1,0.5,65.0,0.0,2.0,at_risk
2104505,AAA,2013J,0,2,2,1.0,74.5,1.0,-0.5,successful
2122180,AAA,2013J,0,2,1,0.5,86.0,0.0,4.0,successful
2139353,AAA,2013J,0,2,2,1.0,63.5,0.0,4.5,at_risk
2143752,AAA,2013J,0,2,2,1.0,53.0,1.0,-0.5,successful
2146792,AAA,2013J,0,2,2,1.0,64.0,1.0,0.0,successful
2149225,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
2153153,AAA,2013J,0,2,2,1.0,64.0,1.0,-1.0,successful
2155014,AAA,2013J,0,2,1,0.5,76.0,0.0,3.0,successful
2164705,AAA,2013J,0,2,1,0.5,70.0,1.0,-1.0,at_risk
2171627,AAA,2013J,0,2,2,1.0,69.0,1.0,-4.0,successful
2182846,AAA,2013J,0,2,2,1.0,64.0,1.0,-2.0,successful
2194100,AAA,2013J,0,2,2,1.0,62.5,1.0,-2.0,successful
2197016,AAA,2013J,0,2,2,1.0,75.0,1.0,-6.5,successful
2208424,AAA,2013J,0,2,2,1.0,65.0,1.0,-2.0,successful
2229865,AAA,2013J,0,2,2,1.0,74.5,1.0,-1.0,successful
2255601,AAA,2013J,0,2,2,1.0,54.5,0.5,2.0,at_risk
2268379,AAA,2013J,0,2,1,0.5,80.0,1.0,0.0,successful
2278464,AAA,2013J,0,2,1,0.5,60.0,1.0,-1.0,successful
2293923,AAA,2013J,0,2,2,1.0,65.5,1.0,0.0,successful
2312620,AAA,2013J,0,2,2,1.0,31.0,0.5,3.5,at_risk
2318055,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
2324976,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
2329342,AAA,2013J,0,2,1,0.5,56.0,1.0,0.0,successful
2339528,AAA,2013J,0,2,2,1.0,75.0,0.5,3.0,successful
2342426,AAA,2013J,0,2,2,1.0,68.5,0.5,2.5,at_risk
2344901,AAA,2013J,0,2,2,1.0,56.0,1.0,0.0,at_risk
2358056,AAA,2013J,0,2,2,1.0,58.0,1.0,0.0,at_risk
2358969,AAA,2013J,0,2,1,0.5,68.0,1.0,0.0,at_risk
2364471,AAA,2013J,0,2,1,0.5,90.0,0.0,6.0,successful
2365101,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
2367155,AAA,2013J,0,2,2,1.0,74.0,0.5,2.0,successful
2369266,AAA,2013J,0,2,2,1.0,50.0,1.0,-0.5,successful
2376496,AAA,2013J,0,2,2,1.0,68.0,1.0,0.0,successful
2391984,AAA,2013J,0,2,2,1.0,74.5,0.0,2.0,at_risk
2411661,AAA,2013J,0,2,2,1.0,56.0,1.0,-1.0,at_risk
2411778,AAA,2013J,0,2,2,1.0,80.0,1.0,-3.5,at_risk
2412002,AAA,2013J,0,2,1,0.5,86.0,0.0,1.0,successful
2412967,AAA,2013J,0,2,2,1.0,78.5,1.0,0.0,successful
2429854,AAA,2013J,0,2,1,0.5,51.0,0.0,5.0,at_risk
2437837,AAA,2013J,0,2,2,1.0,72.0,1.0,-1.5,successful
2449878,AAA,2013J,0,2,2,1.0,63.0,0.0,3.5,successful
2456480,AAA,2013J,0,2,2,1.0,37.0,0.5,2.0,at_risk
2457256,AAA,2013J,0,2,2,1.0,60.0,0.5,2.5,successful
2458355,AAA,2013J,0,2,2,1.0,87.0,1.0,0.0,successful
2460080,AAA,2013J,0,2,1,0.5,85.0,1.0,-1.0,successful
2461190,AAA,2013J,0,2,2,1.0,56.0,0.5,1.0,at_risk
2469673,AAA,2013J,0,2,1,0.5,51.0,1.0,-1.0,at_risk
2470694,AAA,2013J,0,2,1,0.5,67.0,0.0,1.0,at_risk
2479954,AAA,2013J,0,2,2,1.0,80.0,0.5,2.0,successful
2481901,AAA,2013J,0,2,2,1.0,77.0,1.0,-1.5,successful
2482700,AAA,2013J,0,2,2,1.0,56.5,0.5,0.5,successful
2486127,AAA,2013J,0,2,2,1.0,68.5,1.0,-1.5,successful
2498700,AAA,2013J,0,2,2,1.0,75.0,0.5,1.5,successful
2516503,AAA,2013J,0,2,2,1.0,78.5,1.0,-0.5,successful
2518069,AAA,2013J,0,2,2,1.0,74.5,1.0,-2.0,successful
2521459,AAA,2013J,0,2,1,0.5,63.0,1.0,0.0,successful
2523736,AAA,2013J,0,2,1,0.5,58.0,0.0,7.0,successful
2529279,AAA,2013J,0,2,2,1.0,75.5,1.0,-4.5,successful
2532302,AAA,2013J,0,2,2,1.0,70.5,1.0,-4.0,successful
2536991,AAA,2013J,0,2,2,1.0,72.0,1.0,0.0,successful
2542724,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
2550279,AAA,2013J,0,2,2,1.0,60.5,1.0,0.0,successful
2551220,AAA,2013J,0,2,1,0.5,77.0,1.0,0.0,successful
2552472,AAA,2013J,0,2,1,0.5,62.0,0.0,14.0,at_risk
2555340,AAA,2013J,0,2,2,1.0,84.5,1.0,-1.5,successful
2557283,AAA,2013J,0,2,2,1.0,73.5,1.0,-1.0,successful
2559575,AAA,2013J,0,2,2,1.0,59.0,1.0,-1.0,successful
2562034,AAA,2013J,0,2,1,0.5,70.0,1.0,0.0,successful
2566163,AAA,2013J,0,2,2,1.0,71.0,1.0,-1.0,successful
2566592,AAA,2013J,0,2,2,1.0,71.5,1.0,-1.0,successful
2569324,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
2574528,AAA,2013J,0,2,2,1.0,67.5,1.0,0.0,successful
2574583,AAA,2013J,0,2,2,1.0,68.5,0.5,1.5,successful
2576122,AAA,2013J,0,2,1,0.5,64.0,1.0,-1.0,at_risk
2578995,AAA,2013J,0,2,2,1.0,79.5,1.0,-2.0,successful
2586560,AAA,2013J,0,2,2,1.0,70.0,1.0,-1.0,successful
2594139,AAA,2013J,0,2,1,0.5,87.0,0.0,1.0,successful
2598871,AAA,2013J,0,2,2,1.0,66.0,1.0,-2.0,successful
2599352,AAA,2013J,0,2,2,1.0,77.5,0.5,2.0,successful
2600688,AAA,2013J,0,2,2,1.0,68.0,0.5,1.5,successful
2606098,AAA,2013J,0,2,2,1.0,70.0,1.0,-2.5,successful
2613116,AAA,2013J,0,2,2,1.0,69.0,1.0,-1.5,successful
2617002,AAA,2013J,0,2,2,1.0,60.0,0.0,6.5,successful
2620584,AAA,2013J,0,2,0,0.0,0.0,0.0,0.0,at_risk
2639449,AAA,2013J,0,2,2,1.0,67.5,0.5,0.5,successful
2639540,AAA,2013J,0,2,2,1.0,77.0,0.5,3.5,successful
2639641,AAA,2013J,0,2,2,1.0,62.5,1.0,-0.5,successful
2641155,AAA,2013J,0,2,2,1.0,79.5,1.0,-0.5,successful
2643002,AAA,2013J,0,2,2,1.0,56.5,0.5,3.0,successful
2645733,AAA,2013J,0,2,2,1.0,84.0,1.0,0.0,successful
2649826,AAA,2013J,0,2,2,1.0,78.5,1.0,-5.5,successful
2650282,AAA,2013J,0,2,2,1.0,83.5,0.5,0.5,successful
2664024,AAA,2013J,0,2,1,0.5,48.0,0.0,3.0,successful
